Aberdeen Aberdeen ABZ [[57.204167, -2.200278]]
Anglesey Ynys Môn VLY [[53.248333, -4.535278]]
Barra Barra BRR [[57.025556, -7.449722]]
Belfast International Belfast BFS [[54.6575, -6.215833]]
Benbecula Benbecula BEB [[57.4775, -7.366389]]
Birmingham Birmingham BHX [[52.453611, -1.747778]]
Blackpool Blackpool BLK [[53.771389, -3.028333]]
Bournemouth Bournemouth BOH [[50.78, -1.8425]]
Bristol Bristol BRS [[51.3825, -2.718889]]
Cambridge Cambridge CBG [[52.205, 0.175]]
Campbeltown Campbeltown CAL [[55.437222, -5.686389]]
Cardiff Cardiff CWL [[51.396667, -3.343333]]
City of Derry Derry LDY [[55.042778, -7.161111]]
Cornwall Airport Newquay Newquay NQY [[50.443333, -5.001667]]
Coventry Coventry CVT [[52.369722, -1.479722]]
Doncaster Sheffield Doncaster DSA [[53.475278, -1.003889]]
Dundee Dundee DND [[56.452222, -3.025556]]
Durham Tees Valley Durham, England MME [[54.509167, -1.429444]]
East Midlands Nottingham EMA [[52.831111, -1.328056]]
Eday Eday EOI [[59.190556, -2.772222]]
Edinburgh Airport Edinburgh EDI [[55.95, -3.3725]]
Exeter Exeter EXT [[50.734444, -3.413889]]
Gatwick London LGW [[51.148056, -0.190278]]
George Best Belfast City Belfast BHD [[54.618056, -5.8725]]
Glasgow Glasgow GLA [[55.871944, -4.433333]]
Glasgow Prestwick Glasgow PIK [[55.509444, -4.586667]]
Heathrow London LHR [[51.4775, -0.461389]]
Humberside Kirmington HUY [[53.574444, -0.350833]]
Inverness Inverness INV [[57.54, -4.05]]
Islay Islay ILY [[55.681944, -6.256667]]
John A. Osborne Brades MNI [[16.791389, -62.194167]]
Kirkwall Kirkwall KOI [[58.957778, -2.905278]]
L.F. Wade International Bermuda BDA [[32.364167, -64.678611]]
Leeds Bradford Leeds LBA [[53.865833, -1.660556]]
Liverpool John Lennon Liverpool LPL [[53.333611, -2.849722]]
London City London LCY [[51.505, 0.054167]]
London Oxford Airport Oxford OXF [[51.837298, -1.319298]]
London Southend London SEN [[51.571389, 0.695556]]
London Stansted London STN [[51.885, 0.235]]
Luton London LTN [[51.874722, -0.368333]]
Manchester Manchester MAN [[53.353611, -2.275]]
Newcastle Newcastle upon Tyne NCL [[55.0375, -1.691667]]
North Ronaldsay North Ronaldsay NRL [[59.3675, -2.434444]]
Norwich Norwich NWI [[52.675833, 1.282778]]
Papa Westray Papa Westray PPW [[59.351389, -2.9]]
Plymouth City Plymouth PLH [[50.422778, -4.105833]]
Sanday Sanday, Orkney NDY [[59.250278, -2.575]]
Southampton Southampton SOU [[50.950278, -1.356667]]
Stornoway Stornoway SYY [[58.215556, -6.331111]]
Stronsay Stronsay SOY [[59.155278, -2.641944]]
Sumburgh Shetland Islands LSI [[59.878889, -1.295556]]
Tiree Tiree TRE [[56.499167, -6.869167]]
Westray Westray WRY [[59.350278, -2.95]]
Wick Wick WIC [[58.458889, -3.093056]]
